"Step","fp6_e2m3_fp6_e3m2 - train/CrossEntropyLoss","fp6_e2m3_fp6_e3m2 - train/CrossEntropyLoss__MIN","fp6_e2m3_fp6_e3m2 - train/CrossEntropyLoss__MAX"
"1020","2.5732421875","2.5732421875","2.5732421875"
"1030","2.5771484375","2.5771484375","2.5771484375"
"1040","2.578125","2.578125","2.578125"
"1050","2.5615234375","2.5615234375","2.5615234375"
"1060","2.5654296875","2.5654296875","2.5654296875"
"1070","2.5498046875","2.5498046875","2.5498046875"
"1080","2.5498046875","2.5498046875","2.5498046875"
"1090","2.5419921875","2.5419921875","2.5419921875"
"1100","2.5419921875","2.5419921875","2.5419921875"
"1110","2.5341796875","2.5341796875","2.5341796875"
"1120","2.53125","2.53125","2.53125"
"1130","2.5302734375","2.5302734375","2.5302734375"
"1140","2.51953125","2.51953125","2.51953125"
"1150","2.544921875","2.544921875","2.544921875"
"1160","2.5439453125","2.5439453125","2.5439453125"
"1170","2.5205078125","2.5205078125","2.5205078125"
"1180","2.5107421875","2.5107421875","2.5107421875"
"1190","2.5048828125","2.5048828125","2.5048828125"
"1200","2.4951171875","2.4951171875","2.4951171875"
"1210","2.505859375","2.505859375","2.505859375"
"1220","2.5029296875","2.5029296875","2.5029296875"
"1230","2.4931640625","2.4931640625","2.4931640625"
"1240","2.470703125","2.470703125","2.470703125"
"1250","2.5029296875","2.5029296875","2.5029296875"
"1260","2.4833984375","2.4833984375","2.4833984375"
"1270","2.4873046875","2.4873046875","2.4873046875"
"1280","2.4951171875","2.4951171875","2.4951171875"
"1290","2.458984375","2.458984375","2.458984375"
"1300","2.4609375","2.4609375","2.4609375"
"1310","2.455078125","2.455078125","2.455078125"
